video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=lUNASfS4vzE&pp=ygUHbGVmdGlzdA%3D%3D,/@TheOfficerTatum,The Officer Tatum,Leftist Starbucks Employee TRIES TO BAN ICE and it INSTANTLY BACKFIRES!,418K,1 day,A leftist Starbucks employee thought they could flex their politics by trying to ban ICE — and it instantly blew up in their face.,2026-01-20 20:36:59.649510
/shorts/6_2BHBEOAEo,/@turningpointusa,Turning Point USA,The Walking Definition of a Leftist 😳📘,8.4M,9 months,charliekirk #debate #2025 #trending #viral #politics #america #college #turningpointusa #leftist.,2026-01-20 20:36:59.653457
/shorts/XpuQVcW4Ris,/@MegynKelly,Megyn Kelly,"Megyn Kelly Reacts to More Crazy Leftists Talking Killing ICE Agents and Promising ""War"" is Coming",138K,6 days,Megyn Kelly reacts to more crazy leftists talking killing ICE agents and promising “war” is coming. LIKE & SUBSCRIBE for new ...,2026-01-20 20:36:59.654959
/shorts/H-lE45ZhpBw,/@Olmecrespite,Olmec Respite Channel ,Liberal vs. Leftist: Key Differences Explained,2.2K,7 months,"Explore the distinctions between liberal and leftist ideologies, focusing on critiques of capitalism, empire, and the Democratic ...",2026-01-20 20:36:59.657423
/watch?v=BjQHuBvdyNg&pp=ygUHbGVmdGlzdA%3D%3D,/@iammrbeat,Mr. Beat,Political Spectrums Explained — Why is there a left wing and right wing?,1.9M,6 years,Mr. Beat and Mr. Barris explain political spectrums and why the whole left versus right paradigm does more harm than good.,2026-01-20 20:36:59.660988
/shorts/X5xziwl_LA8,/@TheIcedCoffeeHour,The Iced Coffee Hour,"The Difference Between Liberal, Leftist, & Progressive",515K,1 year,Full Vid: https://youtu.be/Eck9JwSeTI0?si=PQVkokLfxa59BpTa NEW: Join us at http://www.icedcoffeehour.club for premium ...,2026-01-20 20:36:59.663895
/watch?v=wBc9XkuOqnU&pp=ygUHbGVmdGlzdA%3D%3D,/@SteviJewel,Stevi,I'm Leaving the Left,328K,4 months,https://x.com/heyitsstevi?s=21 Time stamps: 00:00 Why I was a leftist 01:25 Conditional Equality 02:20 Charlie Kirk 03:37 ...,2026-01-20 20:36:59.667281
/shorts/2lPOhfB1NuM,/@turningpointusa,Turning Point USA,He’s Everything Wrong with the Left 🙃,5.9M,5 months,leftist #charliekirk #2025 #politics #trending #viralvideo #usa #debate #protest.,2026-01-20 20:36:59.670687
/watch?v=OqYDHuUKQPk&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@StevenCrowder,StevenCrowder,The Left is Violent | Change My Mind,3.2M,3 months,"And, we're back. Steven brings Change My Mind to the SMU campus to discuss political violence and where it comes from.",2026-01-20 20:36:59.672750
/shorts/0yayXL9C-L8,/@MegynKelly,Megyn Kelly,Megyn Kelly and Adam Carolla React To Lunatic Leftist Who Says Trump CAUSED Her Menopause,274K,4 days,Megyn Kelly and Adam Carolla react to lunatic leftist who says Trump caused her menopause. LIKE & SUBSCRIBE for new ...,2026-01-20 20:36:59.676385
/watch?v=-SzsvEO7C3s&pp=ygUHbGVmdGlzdA%3D%3D,/@LFRFAMILY,LFR FAMILY,The HYPOCRISY Nobody's Talking About | Leftist LUNATICS Breaking Their Own Laws,49K,8 days,Get 20% off with promo code LFR20 at Blueterna https://www.blueterna.com/products/ref/17/ LET ME COACH YOU ...,2026-01-20 20:36:59.677789
/watch?v=Vjsv_QMO1V4&pp=ygUHbGVmdGlzdA%3D%3D,/@SecretScholars,Warren Smith - Secret Scholar Society,Leftist ROBBED Live on Camera After Saying White People DESERVE to Be Robbed,330K,4 weeks,"liberal #debate This guy is so captured by ideology, it is difficult to believe this is real. His logic rapidly backfires, and he finds ...",2026-01-20 20:36:59.680195
/watch?v=oCHWFHj9uh8&pp=ygUHbGVmdGlzdNIHCQlPCgGHKiGM7w%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,'You're A Left-Wing Hack!': Karoline Leavitt Explodes At Reporter During Interchange About ICE,95K,5 days,"During a press conference on Thursday, White House Press Secretary Karoline Leavitt got into an argument with a reporter about ...",2026-01-20 20:36:59.682368
/shorts/IVCfS_qz9uo,/@turningpointusa,Turning Point USA,The Left Summed Up in One Clip 🙃,13M,5 months,charliekirk #2025 #america #politics #trending #politicaldebate #college #viral.,2026-01-20 20:36:59.684341
