video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9GfTe4c3Wj8&pp=ygUETUFHQQ%3D%3D,/@ReallyAmerican,Really American,MAGA Bigot RAN OUT Of Minneapolis After Stunt BACKFIRES,41K,15 hours,Really American host Tony Hinderman breaks down protestors interrupt church service after the pastor was found out to be an ICE ...,2026-01-20 20:32:01.613505
/watch?v=SPZvRImWjCs&pp=ygUETUFHQQ%3D%3D,/@JackCocchiarellaShow,Jack Cocchiarella,MAGA Pastor Joins ICE Then Protestors Shut Down Church ... He Panics!,320K,1 day,Political commentator Jack Cocchiarella reacts to a MAGA Ice pastor getting shut down. Connect with me on Instagram: ...,2026-01-20 20:32:01.615760
/shorts/V-Spdx0qHac,/@hawkpodcasts,Hawk's Podcasts / mdg650hawk,“The 2nd Amendment is only for white men!” #duet #2A #2ndamendment #maga #carry #permit #gun #maga,46K,6 hours,The 2nd Amendment is only for white men!” Duet with: https://www.tiktok.com/@unfadingsilence If you have the means and want ...,2026-01-20 20:32:01.618024
/shorts/igMHQXbTyro,/@Dortie,Tony Dortie ,MAGA KAREN THINKS HER MLK Insult float IS FUNNY,22K,7 hours,MAGA KAREN THINKS HER MLK INSULT FLOAT IS FUNNY.,2026-01-20 20:32:01.626489
/shorts/r4qPpDrJepc,/@NewsNation,NewsNation,Protesters in Denmark sport 'MAGA' hats: Make America Go Aay,922,1 hour,Protesters in Denmark have been wearing mock MAGA hats as opposition grows to President Trump's renewed push to seize ...,2026-01-20 20:32:01.628261
/shorts/eMgPU9ge9hE,/@hawkpodcasts,Hawk's Podcasts / mdg650hawk,Where is your line MAGA? #duet #maga #line #breakingpoint #trumpsupporters #violence #occupation,11K,1 hour,Where is your line MAGA? Duet with: https://www.tiktok.com/@thebestcasandra If you have the means and want to support Hawk ...,2026-01-20 20:32:01.632586
/shorts/2PBa_F9xvKc,/@TheLetterhack,The Letterhack,Why Are MAGA Mad At Democrats Even Though They Vote Republican? #politics #maga #primary #democrats,498,7 hours,Join this channel to get access to perks: https://www.youtube.com/channel/UColAX8i-BbfjHbfQ7ah1PZA/join.,2026-01-20 20:32:01.634263
/shorts/9baxaUd-auE,/@Dortie,Tony Dortie ,MAGA KAREN THE BULLY EFFS AROUND & FINDS OUT,239K,19 hours,MAGA KAREN THE BULLY EFFS AROUND & FINDS OUT.,2026-01-20 20:32:01.635627
/watch?v=0j5bUmSlIaM&pp=ygUETUFHQQ%3D%3D,/@deanwithrs,Dean Withers,This Is The Breaking Point. - Debating MAGA! | Ep. 303,62K,Streamed 19 hours,Dean Withers Debates Over 100 Trump Supporters. Want to Support? PayPal & Venmo: https://www.linktr.ee/DeanWithers Dean ...,2026-01-20 20:32:01.636816
/shorts/SWPMI9IWrQQ,/@Theusastream28,The USA Stream,MAGA Republican Hit This CNN Panel With the Truth #shorts,1.2K,1 hour,MAGA Republican Hit Them With the Truth #scottjennings #abby #cnn #foxnews #conservative.,2026-01-20 20:32:01.639716
